Class,Dim,Birth,Death,Lifetime,Numvert,Range,Vertices
1,1,0.42733848226842874,0.4489648195782603,0.021626337309831545,4,3,"[487, 488, 489, 490]"
2,1,0.5541250028957521,0.5613231655526245,0.007198162656872453,5,4,"[257, 258, 259, 260, 261]"
3,1,0.5939025738826458,0.5973079372903796,0.0034053634077337858,4,4,"[117, 118, 119, 121]"
4,1,0.4882696815803971,0.5585465897475053,0.07027690816710819,6,5,"[352, 353, 354, 355, 356, 357]"
5,1,0.5834003283433938,0.6217303588405052,0.03833003049711137,8,8,"[3, 4, 5, 6, 7, 9, 10, 11]"
6,1,0.5865843442543588,0.6077549476853443,0.021170603430985535,9,8,"[420, 421, 422, 423, 424, 425, 426, 427, 428]"
7,1,0.6162018154215398,0.6732649689439048,0.05706315352236491,8,8,"[31, 33, 34, 35, 36, 37, 38, 39]"
8,1,0.6168608219443932,0.6464788994579391,0.02961807751354595,6,5,"[26, 27, 28, 29, 30, 31]"
9,1,0.6248507575967848,0.6607892902741179,0.03593853267733316,5,4,"[177, 178, 179, 180, 181]"
10,1,0.6269925654614341,0.6410273255452019,0.014034760083767805,11,11,"[210, 211, 212, 213, 215, 216, 217, 218, 219, 220, 221]"
11,1,0.6308063014650191,0.690521757583099,0.059715456118079824,11,11,"[173, 174, 175, 176, 177, 178, 179, 180, 181, 183, 184]"
12,1,0.6312098771203324,0.6433058817290671,0.012096004608734723,4,7,"[455, 458, 461, 462]"
13,1,0.6421849033587462,0.6598961736707725,0.01771127031202624,9,9,"[11, 12, 14, 15, 16, 17, 18, 19, 20]"
14,1,0.6937950650818512,Inf,Inf,5,4,"[438, 439, 440, 441, 442]"
15,1,0.6896125230751358,Inf,Inf,10,9,"[342, 343, 344, 345, 346, 347, 348, 349, 350, 351]"
16,1,0.6876934251899405,Inf,Inf,7,9,"[328, 330, 333, 334, 335, 336, 337]"
17,1,0.6842620358284035,Inf,Inf,9,9,"[328, 330, 331, 332, 333, 334, 335, 336, 337]"
18,1,0.6646920359265676,Inf,Inf,6,5,"[473, 474, 475, 476, 477, 478]"
19,1,0.6565433398459182,Inf,Inf,12,11,"[390, 391, 392, 393, 394, 395, 396, 397, 398, 399, 400, 401]"
20,1,0.6434008352655873,Inf,Inf,12,12,"[76, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88]"
21,1,0.6333112579743456,Inf,Inf,5,5,"[288, 290, 291, 292, 293]"
22,1,0.6186640920239248,Inf,Inf,7,6,"[197, 198, 199, 200, 201, 202, 203]"
23,1,0.6029684016265473,Inf,Inf,14,14,"[135, 136, 138, 139, 140, 141, 142, 143, 144, 145, 146, 147, 148, 149]"
