Replica,Class,Dim,Birth,Death,Lifetime,Numvert,Range,Vertices,Unsorted_Vertices
2B,1,1,0.49745550899633867,0.5029609204900057,0.005505411493667067,8,7,"[15277, 15278, 15279, 15280, 15281, 15282, 15283, 15284]","[15283, 15284, 15279, 15278, 15282, 15283, 15278, 15277, 15279, 15280, 15281, 15282, 15280, 15281, 15277, 15284]"
2B,2,1,0.6351649913616928,0.6700776623935151,0.03491267103182227,4,3,"[8087, 8088, 8089, 8090]","[8089, 8090, 8088, 8087, 8088, 8089, 8087, 8090]"
2B,3,1,0.6473880130122844,0.6878875431964117,0.04049953018412722,4,3,"[8090, 8091, 8092, 8093]","[8091, 8090, 8092, 8093, 8090, 8093, 8091, 8092]"
2B,4,1,0.6640405004963743,0.7120108700592978,0.04797036956292344,4,3,"[2542, 2543, 2544, 2545]","[2544, 2545, 2543, 2542, 2545, 2542, 2544, 2543]"
2B,5,1,0.674067559253758,0.7005195786323969,0.026452019378638836,4,3,"[5180, 5181, 5182, 5183]","[5182, 5183, 5181, 5180, 5182, 5181, 5183, 5180]"
2B,6,1,0.6756844947272691,0.683522656152204,0.007838161424934875,4,3,"[5964, 5965, 5966, 5967]","[5965, 5964, 5966, 5967, 5965, 5966, 5964, 5967]"
2B,7,1,0.692571508611799,0.6991006414667592,0.006529132854960262,4,3,"[14694, 14695, 14696, 14697]","[14696, 14697, 14695, 14694, 14694, 14697, 14695, 14696]"
2B,8,1,0.6950113042534984,0.7440807967865884,0.04906949253309001,4,3,"[4386, 4387, 4388, 4389]","[4387, 4386, 4388, 4387, 4388, 4389, 4389, 4386]"
2B,9,1,0.6985041725617961,0.7448222099026512,0.046318037340855156,4,3,"[7994, 7995, 7996, 7997]","[7995, 7994, 7996, 7997, 7997, 7994, 7996, 7995]"
2B,10,1,0.7059656531377453,0.7833233129034314,0.0773576597656861,4,3,"[713, 714, 715, 716]","[714, 713, 715, 714, 715, 716, 716, 713]"
2B,11,1,0.7088275363182486,0.7411298385669542,0.03230230224870567,4,3,"[4121, 4122, 4123, 4124]","[4122, 4121, 4124, 4121, 4123, 4122, 4123, 4124]"
2B,12,1,0.710708318018246,0.714733846154452,0.004025528136206047,4,3,"[9457, 9458, 9459, 9460]","[9458, 9457, 9459, 9460, 9458, 9459, 9457, 9460]"
2B,13,1,0.7129885146680823,0.7828638380142262,0.06987532334614388,4,3,"[2808, 2809, 2810, 2811]","[2810, 2811, 2810, 2809, 2809, 2808, 2811, 2808]"
2B,14,1,0.7143673365422328,0.7235537513972493,0.009186414855016478,4,3,"[8711, 8712, 8713, 8714]","[8712, 8711, 8713, 8714, 8713, 8712, 8714, 8711]"
2B,15,1,0.7154283287824149,0.7330400014161021,0.017611672633687236,4,3,"[51, 52, 53, 54]","[53, 54, 52, 51, 54, 51, 53, 52]"
2B,16,1,0.7154354828193219,0.7184638882061758,0.003028405386853894,4,3,"[1300, 1301, 1302, 1303]","[1302, 1303, 1301, 1300, 1301, 1302, 1300, 1303]"
2B,17,1,0.7181344737764375,0.7458074378084758,0.02767296403203834,4,3,"[7594, 7595, 7596, 7597]","[7595, 7594, 7596, 7597, 7597, 7594, 7596, 7595]"
2B,18,1,0.725809794078962,0.7267149279047249,0.0009051338257629604,4,3,"[5692, 5693, 5694, 5695]","[5694, 5695, 5693, 5692, 5695, 5692, 5694, 5693]"
2B,19,1,0.7292963767492504,0.749912891817256,0.020616515068005548,4,3,"[7591, 7592, 7593, 7594]","[7593, 7594, 7592, 7591, 7591, 7594, 7592, 7593]"
2B,20,1,0.7337661418484166,0.7802814623124871,0.046515320464070475,4,3,"[10625, 10626, 10627, 10628]","[10627, 10628, 10626, 10625, 10626, 10627, 10625, 10628]"
2B,21,1,0.7351650897766842,0.7460298928538283,0.010864803077144103,4,3,"[8602, 8603, 8604, 8605]","[8603, 8602, 8604, 8605, 8604, 8603, 8605, 8602]"
2B,22,1,0.7357719771614202,0.7402649450563268,0.004492967894906608,4,5,"[2685, 2686, 2687, 2690]","[2687, 2686, 2686, 2685, 2687, 2690, 2685, 2690]"
2B,23,1,0.7375959041308634,0.7481895006702391,0.01059359653937575,6,5,"[11893, 11894, 11895, 11896, 11897, 11898]","[11894, 11893, 11897, 11898, 11897, 11896, 11895, 11896, 11894, 11895, 11893, 11898]"
2B,24,1,0.7393741620400807,0.77625560235344,0.03688144031335938,4,3,"[12821, 12822, 12823, 12824]","[12823, 12824, 12823, 12822, 12822, 12821, 12824, 12821]"
2B,25,1,0.7393984070043055,0.8084090772145461,0.06901067021024065,5,4,"[1776, 1777, 1778, 1779, 1780]","[1779, 1778, 1779, 1780, 1777, 1778, 1777, 1776, 1776, 1780]"
2B,26,1,0.7398280889815478,0.7887077596594946,0.04887967067794674,4,3,"[4101, 4102, 4103, 4104]","[4103, 4104, 4102, 4103, 4101, 4104, 4102, 4101]"
2B,27,1,0.7403553037331323,0.76068036153725,0.020325057804117752,4,3,"[8199, 8200, 8201, 8202]","[8200, 8199, 8201, 8200, 8201, 8202, 8202, 8199]"
2B,28,1,0.7421752434659953,0.742814919173264,0.0006396757072687498,4,3,"[6223, 6224, 6225, 6226]","[6224, 6223, 6225, 6226, 6225, 6224, 6226, 6223]"
2B,29,1,0.7423357404961036,0.7717369130713982,0.02940117257529462,4,3,"[7794, 7795, 7796, 7797]","[7795, 7794, 7796, 7797, 7795, 7796, 7794, 7797]"
2B,30,1,0.7454232194287254,0.7584350893657134,0.013011869936987996,4,3,"[6083, 6084, 6085, 6086]","[6084, 6083, 6085, 6086, 6084, 6085, 6083, 6086]"
2B,31,1,0.745934864638914,0.7521178637244716,0.006182999085557639,4,3,"[14995, 14996, 14997, 14998]","[14997, 14998, 14996, 14995, 14997, 14996, 14998, 14995]"
2B,32,1,0.7470074682148211,0.749181346281068,0.002173878066246915,4,4,"[12533, 12534, 12536, 12537]","[12536, 12537, 12534, 12533, 12536, 12534, 12537, 12533]"
2B,33,1,0.7503993775266906,0.762240948408266,0.011841570881575336,4,3,"[14641, 14642, 14643, 14644]","[14643, 14644, 14642, 14643, 14642, 14641, 14641, 14644]"
2B,34,1,0.752216780723717,0.7581751792511363,0.005958398527419306,5,4,"[7741, 7742, 7743, 7744, 7745]","[7742, 7741, 7743, 7744, 7744, 7745, 7742, 7743, 7741, 7745]"
2B,35,1,0.7554601993916399,0.7858478888164052,0.03038768942476533,4,3,"[9234, 9235, 9236, 9237]","[9235, 9234, 9235, 9236, 9236, 9237, 9234, 9237]"
2B,36,1,0.7565317204561478,0.7640218973347442,0.007490176878596433,4,3,"[8173, 8174, 8175, 8176]","[8175, 8176, 8174, 8173, 8176, 8173, 8175, 8174]"
2B,37,1,0.7574781386910265,0.8114464046902009,0.05396826599917437,4,3,"[2621, 2622, 2623, 2624]","[2623, 2624, 2622, 2621, 2621, 2624, 2622, 2623]"
2B,38,1,0.7575431559034648,0.7790358012078297,0.0214926453043649,4,3,"[4674, 4675, 4676, 4677]","[4675, 4674, 4676, 4677, 4676, 4675, 4674, 4677]"
2B,39,1,0.7608685669527713,0.778421731789762,0.017553164836990764,4,3,"[3199, 3200, 3201, 3202]","[3200, 3199, 3201, 3200, 3201, 3202, 3202, 3199]"
2B,40,1,0.7639600254660186,0.7854407090643445,0.02148068359832589,4,3,"[4775, 4776, 4777, 4778]","[4777, 4778, 4776, 4775, 4775, 4778, 4777, 4776]"
2B,41,1,0.764053869694275,0.76451051201985,0.000456642325574963,5,4,"[5970, 5971, 5972, 5973, 5974]","[5971, 5972, 5973, 5974, 5971, 5970, 5973, 5972, 5974, 5970]"
2B,42,1,0.764135483865771,0.7671352464252463,0.0029997625594753163,4,10,"[5829, 5830, 5838, 5839]","[5829, 5830, 5839, 5838, 5839, 5829, 5838, 5830]"
2B,43,1,0.7687179420021442,0.7699162032601392,0.001198261257995048,5,4,"[8813, 8814, 8815, 8816, 8817]","[8814, 8813, 8816, 8817, 8815, 8816, 8814, 8815, 8813, 8817]"
2B,44,1,0.7688063605663672,0.7800175782090154,0.011211217642648208,5,5,"[7369, 7370, 7371, 7373, 7374]","[7373, 7374, 7370, 7369, 7370, 7371, 7371, 7373, 7374, 7369]"
