Replica,Class,Dim,Birth,Death,Lifetime,Numvert,Range,Vertices,Unsorted_Vertices
8A,1,1,0.5287506821748118,0.5496789382267686,0.020928256051956806,4,3,"[14709, 14710, 14711, 14712]","[14711, 14712, 14710, 14709, 14711, 14710, 14712, 14709]"
8A,2,1,0.5874485355469818,0.651690465570687,0.06424193002370515,4,3,"[5386, 5387, 5388, 5389]","[5387, 5386, 5388, 5389, 5387, 5388, 5386, 5389]"
8A,3,1,0.5894503743864089,0.5912011648074985,0.0017507904210896097,4,3,"[6198, 6199, 6200, 6201]","[6199, 6198, 6200, 6199, 6200, 6201, 6201, 6198]"
8A,4,1,0.6192576793767535,0.6296095806509174,0.010351901274163966,4,3,"[8057, 8058, 8059, 8060]","[8058, 8057, 8059, 8058, 8057, 8060, 8059, 8060]"
8A,5,1,0.6392980538517435,0.648273335889246,0.008975282037502419,4,3,"[12429, 12430, 12431, 12432]","[12430, 12429, 12431, 12432, 12430, 12431, 12429, 12432]"
8A,6,1,0.6397581522757265,0.6427656010847789,0.003007448809052349,4,3,"[10571, 10572, 10573, 10574]","[10573, 10574, 10572, 10571, 10572, 10573, 10571, 10574]"
8A,7,1,0.6437949725707968,0.6881578705513003,0.044362897980503524,4,3,"[2606, 2607, 2608, 2609]","[2608, 2609, 2607, 2606, 2606, 2609, 2607, 2608]"
8A,8,1,0.6460159144309534,0.677727723156221,0.031711808725267576,4,3,"[4755, 4756, 4757, 4758]","[4757, 4758, 4756, 4755, 4755, 4758, 4756, 4757]"
8A,9,1,0.6584937002362066,0.6739698758817081,0.015476175645501522,4,3,"[10072, 10073, 10074, 10075]","[10073, 10072, 10074, 10075, 10074, 10073, 10075, 10072]"
8A,10,1,0.6595737414721078,0.6720208587288905,0.012447117256782714,5,7,"[2705, 2707, 2710, 2711, 2712]","[2707, 2705, 2711, 2712, 2710, 2711, 2710, 2707, 2705, 2712]"
8A,11,1,0.6615522759071214,0.6770799749725864,0.015527699065465028,4,3,"[2794, 2795, 2796, 2797]","[2796, 2797, 2796, 2795, 2795, 2794, 2797, 2794]"
8A,12,1,0.6668285003084784,0.7098856026031901,0.04305710229471171,4,3,"[3487, 3488, 3489, 3490]","[3489, 3490, 3488, 3487, 3488, 3489, 3487, 3490]"
8A,13,1,0.6681553852831221,0.6728267485905198,0.004671363307397702,4,3,"[6686, 6687, 6688, 6689]","[6688, 6689, 6687, 6686, 6688, 6687, 6689, 6686]"
