Replica,Class,Dim,Birth,Death,Lifetime,Numvert,Range,Vertices,Unsorted_Vertices
8B,1,1,0.43257274320205386,0.44311930961159296,0.010546566409539104,4,3,"[9134, 9135, 9136, 9137]","[9136, 9135, 9137, 9135, 9136, 9134, 9137, 9134]"
8B,2,1,0.4851086924964983,0.5151070469400583,0.02999835444355997,20,22,"[15190, 15191, 15193, 15194, 15195, 15196, 15197, 15198, 15199, 15200, 15201, 15202, 15203, 15204, 15205, 15207, 15209, 15210, 15211, 15212]","[15191, 15190, 15193, 15194, 15195, 15194, 15211, 15212, 15209, 15210, 15204, 15205, 15196, 15197, 15200, 15199, 15195, 15196, 15211, 15210, 15203, 15204, 15207, 15205, 15199, 15198, 15207, 15209, 15200, 15201, 15202, 15203, 15198, 15197, 15201, 15202, 15193, 15191, 15212, 15190]"
8B,3,1,0.5148913362700025,0.5198939647315128,0.005002628461510339,4,3,"[5510, 5511, 5512, 5513]","[5512, 5513, 5511, 5510, 5511, 5512, 5510, 5513]"
8B,4,1,0.6007253725563485,0.6134649300267077,0.012739557470359153,4,3,"[4634, 4635, 4636, 4637]","[4636, 4635, 4635, 4634, 4636, 4637, 4637, 4634]"
8B,5,1,0.6139137196907933,0.6149010289267478,0.00098730923595447,4,3,"[2788, 2789, 2790, 2791]","[2790, 2791, 2789, 2788, 2789, 2790, 2791, 2788]"
8B,6,1,0.6147710886197681,0.6615006732961632,0.0467295846763951,4,3,"[6190, 6191, 6192, 6193]","[6192, 6193, 6191, 6190, 6193, 6190, 6192, 6191]"
8B,7,1,0.6261230727717428,0.6339264364833559,0.007803363711613054,4,3,"[14920, 14921, 14922, 14923]","[14921, 14920, 14922, 14923, 14921, 14922, 14920, 14923]"
8B,8,1,0.6416753686086125,0.6650418701941794,0.023366501585566857,4,3,"[4903, 4904, 4905, 4906]","[4904, 4903, 4906, 4903, 4905, 4906, 4905, 4904]"
8B,9,1,0.6452762079230402,0.6642374682212904,0.018961260298250182,4,3,"[1487, 1488, 1489, 1490]","[1489, 1490, 1488, 1487, 1489, 1488, 1490, 1487]"
8B,10,1,0.6519950457752929,0.6737886255264225,0.02179357975112961,4,3,"[15130, 15131, 15132, 15133]","[15132, 15133, 15131, 15130, 15132, 15131, 15133, 15130]"
