chrom1	start1	end1	chrom2	start2	end2	bin1	bin2	kernel_id	iteration	score	pvalue	qvalue
chr1	210000	212000	chr1	224000	226000	105	112	0	0	0.3976118739	0.0000000014	0.0000000019
chr1	226000	228000	chr1	246000	248000	113	123	0	0	0.5292018337	0.0000000000	0.0000000000
chr1	248000	250000	chr1	268000	270000	124	134	0	0	0.3441319153	0.0000000311	0.0000000368
chr1	324000	326000	chr1	346000	348000	162	173	0	0	0.4357927702	0.0000000000	0.0000000000
chr1	348000	350000	chr1	374000	376000	174	187	0	0	0.6756589129	0.0000000000	0.0000000000
chr1	386000	388000	chr1	416000	418000	193	208	0	0	0.4216229545	0.0000000000	0.0000000000
chr1	434000	436000	chr1	444000	446000	217	222	0	0	0.3227569390	0.0000063125	0.0000063916
chr1	516000	518000	chr1	548000	550000	258	274	0	0	0.4943842007	0.0000000000	0.0000000000
chr1	546000	548000	chr1	562000	564000	273	281	0	0	0.5539737852	0.0000000000	0.0000000000
chr1	562000	564000	chr1	584000	586000	281	292	0	0	0.5606810079	0.0000000000	0.0000000000
chr1	584000	586000	chr1	610000	612000	292	305	0	0	0.6549644519	0.0000000000	0.0000000000
chr1	608000	610000	chr1	628000	630000	304	314	0	0	0.3335124258	0.0000000881	0.0000000995
chr1	626000	628000	chr1	660000	662000	313	330	0	0	0.6334692590	0.0000000000	0.0000000000
chr1	722000	724000	chr1	742000	744000	361	371	0	0	0.4291092892	0.0000000030	0.0000000040
chr1	738000	740000	chr1	766000	768000	369	383	0	0	0.4694666539	0.0000000000	0.0000000000
chr1	764000	766000	chr1	786000	788000	382	393	0	0	0.5045577154	0.0000000000	0.0000000000
chr1	794000	796000	chr1	806000	808000	397	403	0	0	0.3326892093	0.0000006104	0.0000006444
chr1	822000	824000	chr1	842000	844000	411	421	0	0	0.3226958579	0.0000063400	0.0000064121
chr1	848000	850000	chr1	890000	892000	424	445	0	0	0.5035515056	0.0000000000	0.0000000000
chr1	890000	892000	chr1	906000	908000	445	453	0	0	0.3999137092	0.0000000000	0.0000000000
chr1	1008000	1010000	chr1	1028000	1030000	504	514	0	0	0.5143992937	0.0000000000	0.0000000000
chr1	1148000	1150000	chr1	1156000	1158000	574	578	0	0	0.3418522608	0.0000002791	0.0000003034
chr1	1212000	1214000	chr1	1232000	1234000	606	616	0	0	0.4526800644	0.0000000000	0.0000000000
chr1	1236000	1238000	chr1	1274000	1276000	618	637	0	0	0.6286131162	0.0000000000	0.0000000000
chr1	1276000	1278000	chr1	1294000	1296000	638	647	0	0	0.4049589914	0.0000000003	0.0000000004
chr1	1294000	1296000	chr1	1318000	1320000	647	659	0	0	0.5563789183	0.0000000000	0.0000000000
chr1	1330000	1332000	chr1	1344000	1346000	665	672	0	0	0.4357330410	0.0000000000	0.0000000000
chr1	1346000	1348000	chr1	1382000	1384000	673	691	0	0	0.5793738465	0.0000000000	0.0000000000
chr1	1382000	1384000	chr1	1408000	1410000	691	704	0	0	0.3800139350	0.0000000000	0.0000000000
chr1	1406000	1408000	chr1	1428000	1430000	703	714	0	0	0.5928715547	0.0000000000	0.0000000000
chr1	1428000	1430000	chr1	1448000	1450000	714	724	0	0	0.3432928176	0.0000000057	0.0000000073
chr1	1448000	1450000	chr1	1464000	1466000	724	732	0	0	0.3583229939	0.0000000031	0.0000000040
chr1	1482000	1484000	chr1	1506000	1508000	741	753	0	0	0.3578812559	0.0000000005	0.0000000007
chr1	1540000	1542000	chr1	1568000	1570000	770	784	0	0	0.5422599036	0.0000000000	0.0000000000
chr1	1568000	1570000	chr1	1584000	1586000	784	792	0	0	0.4741619137	0.0000000000	0.0000000000
chr1	1620000	1622000	chr1	1640000	1642000	810	820	0	0	0.3307968447	0.0000000620	0.0000000710
chr1	1664000	1666000	chr1	1690000	1692000	832	845	0	0	0.4379729349	0.0000000000	0.0000000000
chr1	1694000	1696000	chr1	1714000	1716000	847	857	0	0	0.3175424357	0.0000002222	0.0000002433
chr1	1822000	1824000	chr1	1846000	1848000	911	923	0	0	0.5518921676	0.0000000000	0.0000000000
chr1	1846000	1848000	chr1	1866000	1868000	923	933	0	0	0.4664635852	0.0000000000	0.0000000000
chr1	1948000	1950000	chr1	1978000	1980000	974	989	0	0	0.5314243904	0.0000000000	0.0000000000
chr1	1978000	1980000	chr1	1996000	1998000	989	998	0	0	0.3600860723	0.0000001514	0.0000001677
chr1	2034000	2036000	chr1	2062000	2064000	1017	1031	0	0	0.3908180544	0.0000000001	0.0000000001
chr1	2104000	2106000	chr1	2130000	2132000	1052	1065	0	0	0.4725668217	0.0000000000	0.0000000000
chr1	2142000	2144000	chr1	2160000	2162000	1071	1080	0	0	0.4534434020	0.0000000000	0.0000000000
chr1	2166000	2168000	chr1	2184000	2186000	1083	1092	0	0	0.3440585738	0.0000000083	0.0000000105
chr1	2188000	2190000	chr1	2202000	2204000	1094	1101	0	0	0.3511978607	0.0000000124	0.0000000153
chr1	2202000	2204000	chr1	2252000	2254000	1101	1126	0	0	0.7472822388	0.0000000000	0.0000000000
chr1	2262000	2264000	chr1	2274000	2276000	1131	1137	0	0	0.3263356558	0.0000010337	0.0000010748
chr1	2280000	2282000	chr1	2298000	2300000	1140	1149	0	0	0.3672741299	0.0000000081	0.0000000102
chr1	2296000	2298000	chr1	2324000	2326000	1148	1162	0	0	0.3363721268	0.0000000758	0.0000000860
chr1	2320000	2322000	chr1	2340000	2342000	1160	1170	0	0	0.4262975524	0.0000000000	0.0000000000
chr1	2318000	2320000	chr1	2364000	2366000	1159	1182	0	0	0.3129962663	0.0000002730	0.0000002971
chr1	2340000	2342000	chr1	2364000	2366000	1170	1182	0	0	0.5761386068	0.0000000000	0.0000000000
chr1	2372000	2374000	chr1	2386000	2388000	1186	1193	0	0	0.4182373463	0.0000000008	0.0000000011
chr1	2448000	2450000	chr1	2472000	2474000	1224	1236	0	0	0.4931534566	0.0000000000	0.0000000000
chr1	2562000	2564000	chr1	2580000	2582000	1281	1290	0	0	0.4550881266	0.0000000000	0.0000000000
chr1	2580000	2582000	chr1	2608000	2610000	1290	1304	0	0	0.6277316024	0.0000000000	0.0000000000
chr1	2606000	2608000	chr1	2634000	2636000	1303	1317	0	0	0.6457838658	0.0000000000	0.0000000000
chr1	2642000	2644000	chr1	2658000	2660000	1321	1329	0	0	0.3988742563	0.0000000001	0.0000000002
chr1	2656000	2658000	chr1	2682000	2684000	1328	1341	0	0	0.7400729272	0.0000000000	0.0000000000
chr1	2682000	2684000	chr1	2692000	2694000	1341	1346	0	0	0.3716074414	0.0000030540	0.0000031388
chr1	2730000	2732000	chr1	2740000	2742000	1365	1370	0	0	0.3832001848	0.0000000087	0.0000000109
chr1	2742000	2744000	chr1	2762000	2764000	1371	1381	0	0	0.5607954701	0.0000000000	0.0000000000
chr1	2762000	2764000	chr1	2782000	2784000	1381	1391	0	0	0.4973768613	0.0000000000	0.0000000000
chr1	2780000	2782000	chr1	2788000	2790000	1390	1394	0	0	0.3155337820	0.0000024598	0.0000025339
chr1	2790000	2792000	chr1	2818000	2820000	1395	1409	0	0	0.4839283088	0.0000000000	0.0000000000
chr1	2816000	2818000	chr1	2834000	2836000	1408	1417	0	0	0.4718514789	0.0000000000	0.0000000000
chr1	2876000	2878000	chr1	2900000	2902000	1438	1450	0	0	0.5417321806	0.0000000000	0.0000000000
chr1	2898000	2900000	chr1	2922000	2924000	1449	1461	0	0	0.5355765377	0.0000000000	0.0000000000
chr1	2920000	2922000	chr1	2928000	2930000	1460	1464	0	0	0.5001807999	0.0000000000	0.0000000000
chr1	2930000	2932000	chr1	2962000	2964000	1465	1481	0	0	0.3390055676	0.0000000627	0.0000000717
chr1	3032000	3034000	chr1	3056000	3058000	1516	1528	0	0	0.5730094762	0.0000000000	0.0000000000
chr1	3056000	3058000	chr1	3078000	3080000	1528	1539	0	0	0.4877450115	0.0000000000	0.0000000000
chr1	3078000	3080000	chr1	3110000	3112000	1539	1555	0	0	0.6456226478	0.0000000000	0.0000000000
chr1	3106000	3108000	chr1	3118000	3120000	1553	1559	0	0	0.3371571345	0.0000000966	0.0000001082
chr1	3118000	3120000	chr1	3142000	3144000	1559	1571	0	0	0.5595188247	0.0000000000	0.0000000000
chr1	3154000	3156000	chr1	3180000	3182000	1577	1590	0	0	0.6566594960	0.0000000000	0.0000000000
chr1	3180000	3182000	chr1	3198000	3200000	1590	1599	0	0	0.5183606766	0.0000000000	0.0000000000
chr1	3302000	3304000	chr1	3340000	3342000	1651	1670	0	0	0.4860813711	0.0000000000	0.0000000000
chr1	3338000	3340000	chr1	3354000	3356000	1669	1677	0	0	0.4009285598	0.0000000001	0.0000000001
chr1	3428000	3430000	chr1	3452000	3454000	1714	1726	0	0	0.3957398901	0.0000000000	0.0000000000
chr1	3452000	3454000	chr1	3470000	3472000	1726	1735	0	0	0.3747986783	0.0000000020	0.0000000026
chr1	3484000	3486000	chr1	3500000	3502000	1742	1750	0	0	0.3963920994	0.0000000000	0.0000000001
chr1	3538000	3540000	chr1	3566000	3568000	1769	1783	0	0	0.4509295709	0.0000000001	0.0000000001
chr1	3634000	3636000	chr1	3644000	3646000	1817	1822	0	0	0.3785122481	0.0000003982	0.0000004275
chr1	3700000	3702000	chr1	3714000	3716000	1850	1857	0	0	0.3148455411	0.0000004202	0.0000004501
chr1	3714000	3716000	chr1	3736000	3738000	1857	1868	0	0	0.3599411944	0.0000000006	0.0000000008
chr1	3758000	3760000	chr1	3786000	3788000	1879	1893	0	0	0.3578086269	0.0000000032	0.0000000042
chr1	3786000	3788000	chr1	3812000	3814000	1893	1906	0	0	0.3280312649	0.0000000331	0.0000000390
chr1	3812000	3814000	chr1	3826000	3828000	1906	1913	0	0	0.6565815850	0.0000000000	0.0000000000
chr1	3826000	3828000	chr1	3848000	3850000	1913	1924	0	0	0.6275353800	0.0000000000	0.0000000000
chr1	3848000	3850000	chr1	3862000	3864000	1924	1931	0	0	0.3474762051	0.0000000182	0.0000000219
chr1	3866000	3868000	chr1	3880000	3882000	1933	1940	0	0	0.4492815100	0.0000000000	0.0000000000
chr1	3878000	3880000	chr1	3906000	3908000	1939	1953	0	0	0.5811303799	0.0000000000	0.0000000000
chr1	3906000	3908000	chr1	3926000	3928000	1953	1963	0	0	0.5384359010	0.0000000000	0.0000000000
chr1	3926000	3928000	chr1	3944000	3946000	1963	1972	0	0	0.3885887676	0.0000000000	0.0000000001
chr1	3960000	3962000	chr1	3998000	4000000	1980	1999	0	0	0.4067751880	0.0000000000	0.0000000000
chr1	3962000	3964000	chr1	3978000	3980000	1981	1989	0	0	0.3200090670	0.0000001572	0.0000001736
chr1	4008000	4010000	chr1	4040000	4042000	2004	2020	0	0	0.5801450676	0.0000000000	0.0000000000
chr1	4038000	4040000	chr1	4056000	4058000	2019	2028	0	0	0.5205452058	0.0000000000	0.0000000000
chr1	4056000	4058000	chr1	4076000	4078000	2028	2038	0	0	0.3633741736	0.0000000006	0.0000000008
chr1	4076000	4078000	chr1	4108000	4110000	2038	2054	0	0	0.5923047958	0.0000000000	0.0000000000
chr1	4108000	4110000	chr1	4124000	4126000	2054	2062	0	0	0.4654677111	0.0000000000	0.0000000000
chr1	4106000	4108000	chr1	4150000	4152000	2053	2075	0	0	0.3450734034	0.0000000303	0.0000000359
chr1	4126000	4128000	chr1	4150000	4152000	2063	2075	0	0	0.3615175325	0.0000000117	0.0000000144
chr1	4162000	4164000	chr1	4184000	4186000	2081	2092	0	0	0.3659076845	0.0000000010	0.0000000013
chr1	4198000	4200000	chr1	4218000	4220000	2099	2109	0	0	0.4574444835	0.0000000000	0.0000000000
chr1	4218000	4220000	chr1	4246000	4248000	2109	2123	0	0	0.4670814499	0.0000000000	0.0000000000
chr1	4248000	4250000	chr1	4266000	4268000	2124	2133	0	0	0.4227427277	0.0000000000	0.0000000000
chr1	4274000	4276000	chr1	4298000	4300000	2137	2149	0	0	0.5356920476	0.0000000000	0.0000000000
chr1	4302000	4304000	chr1	4312000	4314000	2151	2156	0	0	0.3090778443	0.0000021443	0.0000022140
chr1	4342000	4344000	chr1	4374000	4376000	2171	2187	0	0	0.6954876209	0.0000000000	0.0000000000
chr1	4376000	4378000	chr1	4396000	4398000	2188	2198	0	0	0.3163816334	0.0000000965	0.0000001081
chr1	4560000	4562000	chr1	4570000	4572000	2280	2285	0	0	0.3159582648	0.0000041561	0.0000042371
chr1	4564000	4566000	chr1	4592000	4594000	2282	2296	0	0	0.4247055727	0.0000000000	0.0000000000
chr1	4656000	4658000	chr1	4674000	4676000	2328	2337	0	0	0.4216537230	0.0000000000	0.0000000000
chr1	4674000	4676000	chr1	4704000	4706000	2337	2352	0	0	0.5957897993	0.0000000000	0.0000000000
chr1	4736000	4738000	chr1	4752000	4754000	2368	2376	0	0	0.4412791952	0.0000000000	0.0000000000
chr1	4752000	4754000	chr1	4772000	4774000	2376	2386	0	0	0.4535628009	0.0000000000	0.0000000000
chr1	4772000	4774000	chr1	4800000	4802000	2386	2400	0	0	0.4492174812	0.0000000000	0.0000000000
chr1	4810000	4812000	chr1	4828000	4830000	2405	2414	0	0	0.5088774469	0.0000000000	0.0000000000
chr1	4824000	4826000	chr1	4852000	4854000	2412	2426	0	0	0.3379628018	0.0000000033	0.0000000043
chr1	4870000	4872000	chr1	4900000	4902000	2435	2450	0	0	0.4869335206	0.0000000000	0.0000000000
chr2	28000	30000	chr2	48000	50000	2476	2486	0	0	0.3322091247	0.0000000190	0.0000000228
chr2	48000	50000	chr2	72000	74000	2486	2498	0	0	0.3169705040	0.0000001270	0.0000001413
chr2	78000	80000	chr2	98000	100000	2501	2511	0	0	0.3269220329	0.0000000907	0.0000001021
chr2	100000	102000	chr2	118000	120000	2512	2521	0	0	0.3723941678	0.0000000003	0.0000000005
chr2	146000	148000	chr2	172000	174000	2535	2548	0	0	0.3159955955	0.0000000438	0.0000000508
chr2	172000	174000	chr2	190000	192000	2548	2557	0	0	0.3624742559	0.0000000011	0.0000000015
chr2	226000	228000	chr2	256000	258000	2575	2590	0	0	0.4891489177	0.0000000000	0.0000000000
chr2	322000	324000	chr2	338000	340000	2623	2631	0	0	0.3776740875	0.0000002037	0.0000002238
chr2	452000	454000	chr2	488000	490000	2688	2706	0	0	0.5851456145	0.0000000000	0.0000000000
chr2	488000	490000	chr2	520000	522000	2706	2722	0	0	0.4992839930	0.0000000000	0.0000000000
chr2	594000	596000	chr2	620000	622000	2759	2772	0	0	0.4485492779	0.0000000000	0.0000000000
chr2	620000	622000	chr2	652000	654000	2772	2788	0	0	0.5871656557	0.0000000000	0.0000000000
chr2	648000	650000	chr2	684000	686000	2786	2804	0	0	0.3416620506	0.0000000053	0.0000000067
chr2	688000	690000	chr2	714000	716000	2806	2819	0	0	0.4117345962	0.0000000000	0.0000000000
chr2	712000	714000	chr2	730000	732000	2818	2827	0	0	0.4356717493	0.0000000000	0.0000000000
chr2	732000	734000	chr2	740000	742000	2828	2832	0	0	0.3351433217	0.0000004963	0.0000005278
chr2	766000	768000	chr2	802000	804000	2845	2863	0	0	0.6653234531	0.0000000000	0.0000000000
chr2	814000	816000	chr2	834000	836000	2869	2879	0	0	0.3123389251	0.0000003605	0.0000003884
chr2	896000	898000	chr2	914000	916000	2910	2919	0	0	0.3951583046	0.0000000001	0.0000000001
