chromosome1	x1	x2	chromosome2	y1	y2	color	APScoreAvg	ProbabilityofEnrichment	RegAPScoreAvg	Avg_diffMaxNeihgboor_1	Avg_diffMaxNeihgboor_2	avg	std	value
chr5	2168000	2170000	chr5	2198000	2200000	0,0,0	4.9473886	1.0	2.5358272	1.7539337	1.817605	1.9788625	0.97044796	3.5379148
chr5	4570000	4572000	chr5	4608000	4610000	0,0,0	9.333754	1.0	5.8045454	1.2802634	1.3019115	2.1491253	0.44444096	3.2871373
chr5	2204000	2206000	chr5	2232000	2234000	0,0,0	5.331209	1.0	2.7389078	1.7163547	2.312158	2.64713	1.0403216	4.1727786
chr5	4622000	4624000	chr5	4666000	4668000	0,0,0	4.6242495	1.0	2.442889	1.9936571	2.2313857	2.6076798	0.69865793	4.3798194
chr5	2114000	2116000	chr5	2144000	2146000	0,0,0	4.7732153	1.0	2.479004	1.6862814	2.1115856	2.4354496	0.9366469	3.9343665
chr5	2732000	2734000	chr5	2766000	2768000	0,0,0	6.6024923	1.0	3.4716282	0.95573795	1.9535998	2.4321058	0.4679224	3.2816508
chr5	3520000	3522000	chr5	3552000	3554000	0,0,0	3.8579564	1.0	2.4125817	1.0993451	1.2337294	2.0693383	0.55481154	3.0465338
chr5	1218000	1220000	chr5	1248000	1250000	0,0,0	4.5795884	1.0	2.5586116	1.1818416	1.9025439	2.5656397	0.4832798	3.6161656
chr5	3106000	3108000	chr5	3152000	3154000	0,0,0	5.8051744	1.0	3.212738	2.3751812	2.671955	3.4199777	1.2516599	5.53125
chr5	2378000	2380000	chr5	2408000	2410000	0,0,0	4.876336	1.0	2.3121238	1.6848224	2.1427054	2.13551	0.5862366	3.6331298
chr5	246000	248000	chr5	270000	272000	0,0,0	5.199945	1.0	2.5307305	1.9291807	2.1950674	2.22462	0.79516625	3.9394476
chr5	4422000	4424000	chr5	4492000	4494000	0,0,0	23.730167	1.0	10.448478	11.380202	11.718874	9.791029	5.644193	19.906765
chr5	4160000	4162000	chr5	4198000	4200000	0,0,0	5.745498	1.0	2.6805737	2.531581	3.3362806	3.2710042	1.4036245	5.5212984
chr5	2638000	2640000	chr5	2674000	2676000	0,0,0	6.056833	1.0	3.0490923	2.4096777	3.2720768	3.6279094	1.1994032	5.769845
chr5	208000	210000	chr5	238000	240000	0,0,0	4.5957646	1.0	2.5649507	1.4712595	2.0444345	2.7186644	0.7159171	4.0264506
chr3	4964000	4966000	chr3	4994000	4996000	0,0,0	3.9356525	1.0	2.062968	1.1405444	2.0783951	2.548721	0.70408654	3.5625384
chr3	5152000	5154000	chr3	5180000	5182000	0,0,0	3.512648	0.97880435	1.8727511	1.1443952	2.2394054	2.837119	0.6488126	3.854359
chr3	4838000	4840000	chr3	4874000	4876000	0,0,0	5.7198267	1.0	3.0503266	1.5946329	2.6446106	3.3024688	0.8518536	4.71992
chr3	3390000	3392000	chr3	3424000	3426000	0,0,0	5.3972306	1.0	3.1865752	1.3166585	2.1134984	3.1607144	0.6906987	4.3310776
chr3	1982000	1984000	chr3	2010000	2012000	0,0,0	3.929807	1.0	2.4124062	0.8453877	1.4612349	2.3711371	0.4145787	3.1225932
chr3	3740000	3742000	chr3	3772000	3774000	0,0,0	3.85255	1.0	2.3221083	1.3876947	1.57602	2.4233828	0.8542027	3.6568892
chr3	396000	398000	chr3	408000	410000	0,0,0	3.3575733	1.0	1.8962282	1.056089	1.1406431	1.5149901	0.41235045	2.4537358
chr3	5386000	5388000	chr3	5420000	5422000	0,0,0	3.8136442	0.98592097	2.3107004	1.5206497	1.8650402	2.9118204	0.70927626	4.263509
chr3	2264000	2266000	chr3	2308000	2310000	0,0,0	4.3126774	0.991255	2.0982006	1.6041231	3.0007148	3.3138754	0.9821564	4.739763
chr3	2366000	2368000	chr3	2394000	2396000	0,0,0	5.103039	1.0	2.6210744	1.4601138	1.9867375	2.277072	0.6700652	3.5749507
chr3	5370000	5372000	chr3	5384000	5386000	0,0,0	4.5539136	1.0	2.7845838	0.8061749	0.9264456	1.4734555	0.48834395	2.1900554
chr3	5086000	5088000	chr3	5102000	5104000	0,0,0	3.192052	1.0	1.9154006	0.62614214	1.3765838	2.147236	0.3240233	2.7038069
