chrom1	start1	end1	chrom2	start2	end2	bin1	bin2	kernel_id	iteration	score	pvalue	qvalue
chr1	210000	212000	chr1	226000	228000	105	113	0	0	0.4904305021	0.0000000000	0.0000000000
chr1	226000	228000	chr1	246000	248000	113	123	0	0	0.4869390621	0.0000000000	0.0000000000
chr1	304000	306000	chr1	324000	326000	152	162	0	0	0.4255551889	0.0000000000	0.0000000000
chr1	324000	326000	chr1	342000	344000	162	171	0	0	0.3318223305	0.0000000861	0.0000000953
chr1	350000	352000	chr1	372000	374000	175	186	0	0	0.6029919367	0.0000000000	0.0000000000
chr1	372000	374000	chr1	386000	388000	186	193	0	0	0.3363365140	0.0000001626	0.0000001757
chr1	448000	450000	chr1	476000	478000	224	238	0	0	0.3406185910	0.0000001332	0.0000001456
chr1	520000	522000	chr1	548000	550000	260	274	0	0	0.5095595648	0.0000000000	0.0000000000
chr1	546000	548000	chr1	562000	564000	273	281	0	0	0.5725228829	0.0000000000	0.0000000000
chr1	560000	562000	chr1	584000	586000	280	292	0	0	0.5462539231	0.0000000000	0.0000000000
chr1	582000	584000	chr1	610000	612000	291	305	0	0	0.6908127051	0.0000000000	0.0000000000
chr1	604000	606000	chr1	662000	664000	302	331	0	0	0.3634814132	0.0000000045	0.0000000056
chr1	626000	628000	chr1	662000	664000	313	331	0	0	0.6850619702	0.0000000000	0.0000000000
chr1	724000	726000	chr1	744000	746000	362	372	0	0	0.3511684377	0.0000037484	0.0000037886
chr1	738000	740000	chr1	766000	768000	369	383	0	0	0.5008639106	0.0000000000	0.0000000000
chr1	766000	768000	chr1	786000	788000	383	393	0	0	0.3967714704	0.0000000000	0.0000000001
chr1	804000	806000	chr1	814000	816000	402	407	0	0	0.3224914814	0.0000018902	0.0000019312
chr1	822000	824000	chr1	844000	846000	411	422	0	0	0.5033514787	0.0000000000	0.0000000000
chr1	846000	848000	chr1	888000	890000	423	444	0	0	0.5218500583	0.0000000000	0.0000000000
chr1	892000	894000	chr1	906000	908000	446	453	0	0	0.3721312654	0.0000000013	0.0000000017
chr1	928000	930000	chr1	942000	944000	464	471	0	0	0.4477925073	0.0000000000	0.0000000000
chr1	956000	958000	chr1	992000	994000	478	496	0	0	0.3577643896	0.0000000008	0.0000000011
chr1	986000	988000	chr1	1012000	1014000	493	506	0	0	0.3352427214	0.0000000054	0.0000000066
chr1	1010000	1012000	chr1	1028000	1030000	505	514	0	0	0.5074310257	0.0000000000	0.0000000000
chr1	1102000	1104000	chr1	1140000	1142000	551	570	0	0	0.4900889760	0.0000000000	0.0000000000
chr1	1210000	1212000	chr1	1234000	1236000	605	617	0	0	0.5639271214	0.0000000000	0.0000000000
chr1	1236000	1238000	chr1	1274000	1276000	618	637	0	0	0.6909600616	0.0000000000	0.0000000000
chr1	1278000	1280000	chr1	1296000	1298000	639	648	0	0	0.4025848907	0.0000000004	0.0000000005
chr1	1292000	1294000	chr1	1318000	1320000	646	659	0	0	0.6855682895	0.0000000000	0.0000000000
