chrom1	start1	end1	chrom2	start2	end2	bin1	bin2	kernel_id	iteration	score	pvalue	qvalue
chr1	212000	214000	chr1	226000	228000	106	113	0	0	0.4303538189	0.0000000000	0.0000000000
chr1	226000	228000	chr1	246000	248000	113	123	0	0	0.4726868957	0.0000000000	0.0000000000
chr1	350000	352000	chr1	374000	376000	175	187	0	0	0.6787278404	0.0000000000	0.0000000000
chr1	384000	386000	chr1	416000	418000	192	208	0	0	0.3435832258	0.0000000043	0.0000000053
chr1	434000	436000	chr1	444000	446000	217	222	0	0	0.3842821753	0.0000000464	0.0000000527
chr1	448000	450000	chr1	478000	480000	224	239	0	0	0.4011317280	0.0000000001	0.0000000001
chr1	520000	522000	chr1	548000	550000	260	274	0	0	0.5578806448	0.0000000000	0.0000000000
chr1	546000	548000	chr1	562000	564000	273	281	0	0	0.4603246465	0.0000000000	0.0000000000
chr1	560000	562000	chr1	586000	588000	280	293	0	0	0.6045577733	0.0000000000	0.0000000000
chr1	584000	586000	chr1	608000	610000	292	304	0	0	0.5580981144	0.0000000000	0.0000000000
chr1	604000	606000	chr1	662000	664000	302	331	0	0	0.3197570892	0.0000003370	0.0000003550
chr1	606000	608000	chr1	628000	630000	303	314	0	0	0.3283584317	0.0000001064	0.0000001167
chr1	628000	630000	chr1	662000	664000	314	331	0	0	0.6517361194	0.0000000000	0.0000000000
chr1	674000	676000	chr1	712000	714000	337	356	0	0	0.3961547629	0.0000000000	0.0000000000
chr1	710000	712000	chr1	724000	726000	355	362	0	0	0.3883963358	0.0000000539	0.0000000609
chr1	726000	728000	chr1	746000	748000	363	373	0	0	0.3528205742	0.0000063267	0.0000063662
chr1	738000	740000	chr1	768000	770000	369	384	0	0	0.5264064581	0.0000000000	0.0000000000
chr1	766000	768000	chr1	784000	786000	383	392	0	0	0.3471224905	0.0000000188	0.0000000220
chr1	784000	786000	chr1	800000	802000	392	400	0	0	0.3138604257	0.0000011029	0.0000011381
chr1	806000	808000	chr1	814000	816000	403	407	0	0	0.3486559815	0.0000004921	0.0000005138
chr1	822000	824000	chr1	842000	844000	411	421	0	0	0.5612617136	0.0000000000	0.0000000000
chr1	846000	848000	chr1	888000	890000	423	444	0	0	0.6318957411	0.0000000000	0.0000000000
chr1	892000	894000	chr1	906000	908000	446	453	0	0	0.3458741728	0.0000000214	0.0000000249
chr1	928000	930000	chr1	940000	942000	464	470	0	0	0.4198354848	0.0000000006	0.0000000008
