chromosome1	x1	x2	chromosome2	y1	y2	color	APScoreAvg	ProbabilityofEnrichment	RegAPScoreAvg	Avg_diffMaxNeihgboor_1	Avg_diffMaxNeihgboor_2	avg	std	value
chr5	2638000	2640000	chr5	2672000	2674000	0,0,0	5.691492	1.0	3.102668	1.6161395	2.3302798	2.979186	0.8430146	4.415755
chr5	4576000	4578000	chr5	4604000	4606000	0,0,0	5.2426906	1.0	3.8240979	0.5070516	0.6571306	1.7032151	0.30614093	2.1539278
chr5	248000	250000	chr5	270000	272000	0,0,0	4.4298677	1.0	2.2741253	1.6132654	1.6900374	1.8494716	0.66386706	3.2834852
chr5	4162000	4164000	chr5	4198000	4200000	0,0,0	4.579704	1.0	2.709313	1.6026248	1.8289593	2.6972325	0.7104673	4.121788
chr5	3578000	3580000	chr5	3626000	3628000	0,0,0	5.005272	1.0	2.6328657	1.4331214	1.8492024	2.1905708	0.7460622	3.4644566
chr5	3076000	3078000	chr5	3106000	3108000	0,0,0	5.5106115	1.0	2.4256558	1.5326892	2.600519	2.4866843	0.8440437	3.8490748
chr5	1218000	1220000	chr5	1250000	1252000	0,0,0	6.311669	1.0	3.140312	1.8114792	3.066235	3.4490392	0.7092181	5.059243
chr5	3106000	3108000	chr5	3150000	3152000	0,0,0	7.1072674	1.0	3.085428	3.334563	3.9378123	3.3752365	1.1500236	6.3392925
chr5	3866000	3868000	chr5	3896000	3898000	0,0,0	5.008108	1.0	2.3029132	2.5734663	2.7909946	2.5438786	0.84930104	4.831404
chr5	208000	210000	chr5	238000	240000	0,0,0	4.469754	1.0	2.2166958	1.6035409	2.4163017	2.6605227	0.595678	4.085892
chr3	5372000	5374000	chr3	5384000	5386000	0,0,0	3.958209	1.0	2.7350528	0.39328504	0.7518726	1.6148635	0.18545048	1.9644502
chr3	5084000	5086000	chr3	5102000	5104000	0,0,0	3.746525	1.0	1.817999	1.3220692	1.9456289	2.0657458	0.5730168	3.2409184
chr3	2074000	2076000	chr3	2102000	2104000	0,0,0	2.88803	1.0	1.9005166	0.5816443	0.8773928	1.6695435	0.38553643	2.1865606
chr3	3390000	3392000	chr3	3424000	3426000	0,0,0	4.6150746	1.0	2.5292535	1.2530552	1.7915698	2.3103442	0.49501818	3.424171
chr3	4268000	4270000	chr3	4296000	4298000	0,0,0	2.9691827	1.0	1.8267933	0.76010334	1.1936079	1.9420142	0.32548955	2.6176617
chr3	3970000	3972000	chr3	3996000	3998000	0,0,0	3.9944372	1.0	2.4815457	0.77139306	1.3256414	2.2060854	0.5855427	2.891768
chr3	406000	408000	chr3	438000	440000	0,0,0	5.4245124	1.0	2.5840938	2.005173	2.1371045	2.0550961	0.9257887	3.8374722
chr3	4764000	4766000	chr3	4794000	4796000	0,0,0	4.9874845	1.0	2.1267564	2.2855394	2.4017594	1.9233826	1.4223485	3.954973
chr3	2766000	2768000	chr3	2798000	2800000	0,0,0	3.252575	1.0	1.8690099	0.7845216	1.5682836	2.252392	0.43044427	2.9497445
chr3	5386000	5388000	chr3	5418000	5420000	0,0,0	3.067958	0.96816695	2.1898446	0.892678	1.0955003	2.654116	0.501851	3.4476075
chr3	3930000	3932000	chr3	3960000	3962000	0,0,0	4.964064	1.0	2.8532858	1.1067178	1.5750533	2.2197938	0.41921327	3.203543
chr3	1532000	1534000	chr3	1560000	1562000	0,0,0	3.3461936	1.0	2.0364153	0.9601345	1.2475928	1.971372	0.37145376	2.8248248
chr3	3500000	3502000	chr3	3526000	3528000	0,0,0	3.6904466	1.0	1.9523741	1.5641589	1.7916982	2.107171	0.586529	3.4975345
chr3	5834000	5836000	chr3	5862000	5864000	0,0,0	4.362505	1.0	2.0884788	1.0873847	2.1925428	2.39293	0.45946565	3.3594942
chr3	2640000	2642000	chr3	2670000	2672000	0,0,0	15.161768	1.0	7.6490026	0.89419	2.8137853	3.4169366	0.63373846	4.211772
chr4	4168000	4170000	chr4	4208000	4210000	0,0,0	3.7503176	1.0	2.682665	0.5361297	0.88901263	2.1246808	0.22214054	2.6012406
chr4	5406000	5408000	chr4	5442000	5444000	0,0,0	6.8482327	1.0	3.3623936	1.6022179	1.8424836	1.899689	0.81411165	3.3238828
chr4	2230000	2232000	chr4	2258000	2260000	0,0,0	4.5271864	1.0	2.2522943	0.89156526	2.1316428	2.4902163	0.5212689	3.2827187
chr4	1204000	1206000	chr4	1238000	1240000	0,0,0	6.4057164	1.0	3.2287354	1.7427037	2.9926863	3.4371843	1.0956372	4.986254
chr4	632000	634000	chr4	676000	678000	0,0,0	4.848797	1.0	2.6201074	1.4841495	2.1237388	2.671118	0.67614675	3.990362
chr4	5074000	5076000	chr4	5130000	5132000	0,0,0	5.74672	1.0	3.7662864	1.3357629	1.9556361	3.6848407	0.9156466	4.8721857
chr4	2268000	2270000	chr4	2306000	2308000	0,0,0	4.842255	1.0	3.0349188	0.92600167	1.3372786	2.26383	0.5282713	3.0869424
chr4	1266000	1268000	chr4	1300000	1302000	0,0,0	8.858279	1.0	4.7807283	1.8064777	3.133073	4.0062017	0.89218754	5.61196
chr4	4060000	4062000	chr4	4096000	4098000	0,0,0	3.2957587	1.0	2.3464887	0.70635307	1.0745509	2.5445514	0.43718368	3.172421
chr4	2512000	2514000	chr4	2558000	2560000	0,0,0	4.5115056	1.0	2.5873845	1.6279669	2.166445	3.0253918	0.6474356	4.4724736
chr4	5078000	5080000	chr4	5116000	5118000	0,0,0	4.5632677	1.0	2.785179	1.3735442	1.9379067	3.0900793	0.87158597	4.3110075
chr4	3872000	3874000	chr4	3902000	3904000	0,0,0	6.21926	1.0	2.6000454	2.5446417	2.6528955	2.0549564	1.5812696	4.31686
chr4	1942000	1944000	chr4	1976000	1978000	0,0,0	3.6661446	1.0	2.4734182	0.74609095	0.92635924	1.8929986	0.41399536	2.5561905
chr1	202000	204000	chr1	212000	214000	0,0,0	11.736297	1.0	5.8488545	0.7700602	1.8303404	2.1418834	0.4594098	2.8263814
chr1	2202000	2204000	chr1	2250000	2252000	0,0,0	8.441551	1.0	4.3882427	3.2696571	4.5723567	5.367102	1.4177061	8.273464
chr1	4872000	4874000	chr1	4898000	4900000	0,0,0	5.353244	1.0	2.637934	1.9050425	2.506443	2.67102	0.942338	4.3643913
chr1	624000	626000	chr1	660000	662000	0,0,0	6.1451006	1.0	3.1355748	1.7846074	2.5538352	2.9171154	0.99852	4.503433
chr1	610000	612000	chr1	660000	662000	0,0,0	5.1523857	1.0	2.6120238	1.8130442	1.9509333	2.0975363	0.7463285	3.709131
chr1	1986000	1988000	chr1	1996000	1998000	0,0,0	4.3563457	1.0	2.6198297	0.75757307	1.0359516	1.5980333	0.29759732	2.2714314
chr2	488000	490000	chr2	520000	522000	0,0,0	6.344107	1.0	3.0052383	1.5429212	2.2756252	2.3339202	0.6991284	3.7054055
chr2	558000	560000	chr2	566000	568000	0,0,0	6.8001485	1.0	4.4334006	0.23973389	0.90722686	1.6755748	0.20250864	1.8886716
chr2	1096000	1098000	chr2	1122000	1124000	0,0,0	5.7542872	1.0	2.8750117	1.3501291	1.8730755	2.0590892	0.7267021	3.259204
chr2	650000	652000	chr2	682000	684000	0,0,0	4.7129264	1.0	3.3006084	0.63848704	0.8547339	1.9397073	0.421456	2.5072513
chr2	6392000	6394000	chr2	6428000	6430000	0,0,0	4.642804	1.0	2.6369786	0.94974804	1.5878822	2.2115102	0.4870684	3.0557306
chr2	8380000	8382000	chr2	8410000	8412000	0,0,0	4.1874285	1.0	2.6845255	0.9003649	1.002744	1.7905116	0.39951405	2.590836
chr2	6270000	6272000	chr2	6306000	6308000	0,0,0	8.198117	1.0	3.9855456	2.7741818	3.7386234	3.9181824	1.0164765	6.3841214
