chromosome1	x1	x2	chromosome2	y1	y2	color	APScoreAvg	ProbabilityofEnrichment	RegAPScoreAvg	Avg_diffMaxNeihgboor_1	Avg_diffMaxNeihgboor_2	avg	std	value
chr5	3380000	3382000	chr5	3406000	3408000	0,0,0	4.4016533	1.0	2.0161412	1.9582896	1.9619687	1.7324677	1.3294927	3.4731696
chr5	4618000	4620000	chr5	4664000	4666000	0,0,0	3.9817526	1.0	2.0927436	1.639782	1.8802533	2.1849797	0.633806	3.6425638
chr5	3952000	3954000	chr5	3986000	3988000	0,0,0	4.5588655	1.0	2.494575	1.6203473	1.7863593	2.229638	1.5841426	3.6699467
chr5	4570000	4572000	chr5	4602000	4604000	0,0,0	5.6055036	1.0	3.2046862	0.87577343	1.3288791	1.861599	0.3899698	2.6400642
chr5	2202000	2204000	chr5	2232000	2234000	0,0,0	4.6121306	1.0	2.3636103	1.4745936	1.6730275	1.8534235	0.6579493	3.1641734
chr5	270000	272000	chr5	278000	280000	0,0,0	4.4875093	1.0	2.08836	0.943017	2.2329133	2.3992085	0.45602039	3.2374458
chr5	4780000	4782000	chr5	4774000	4776000	0,0,0	4.259561	1.0	2.9054282	0.8233247	0.8892763	1.8871852	0.31042087	2.6190293
chr5	1214000	1216000	chr5	1250000	1252000	0,0,0	6.211876	1.0	3.2359293	2.0956688	2.6999998	3.1439567	0.8064333	5.0067735
chr5	3862000	3864000	chr5	3896000	3898000	0,0,0	3.967609	1.0	2.766151	0.85760826	1.1171424	2.5050251	0.36571473	3.2673435
chr5	2640000	2642000	chr5	2672000	2674000	0,0,0	5.499376	1.0	3.0286212	1.0976753	2.3068476	3.0922241	0.7316401	4.0679355
chr3	2662000	2664000	chr3	2668000	2670000	0,0,0	6.621342	1.0	4.714819	0.5281398	0.6642898	1.5940216	0.41342437	2.0634792
chr3	2626000	2628000	chr3	2670000	2672000	0,0,0	17.556196	1.0	10.37259	1.3115764	1.5757248	2.3244905	0.91282547	3.4903364
chr4	4168000	4170000	chr4	4208000	4210000	0,0,0	3.8686807	1.0	2.5975642	0.82968444	1.0217053	2.0606945	0.37753764	2.7981918
chr4	2134000	2136000	chr4	2166000	2168000	0,0,0	4.4117527	1.0	2.3415031	0.96533155	1.7506015	2.1877823	0.42339638	3.0458548
chr4	5406000	5408000	chr4	5438000	5440000	0,0,0	5.7009983	1.0	3.221863	1.1466835	1.2520549	1.6672323	0.52838755	2.6865065
chr4	5420000	5422000	chr4	5444000	5446000	0,0,0	4.40281	1.0	2.6363125	1.2513626	1.3938112	2.1090364	0.64616185	3.2213588
chr4	2230000	2232000	chr4	2258000	2260000	0,0,0	4.135408	1.0	2.06602	0.9249359	2.0954082	2.449252	0.60395545	3.2714171
chr4	1942000	1944000	chr4	1974000	1976000	0,0,0	3.664999	1.0	2.077278	0.9395225	1.3038676	1.7851168	0.41978404	2.6202478
chr4	1204000	1206000	chr4	1238000	1240000	0,0,0	5.891888	1.0	2.9173672	1.8116367	2.7523532	3.0271306	1.1656834	4.6374745
chr4	4614000	4616000	chr4	4646000	4648000	0,0,0	2.8435025	1.0	2.1145062	0.5204305	0.7911341	2.1619496	0.23841728	2.6245544
chr4	1750000	1752000	chr4	1780000	1782000	0,0,0	4.8351493	1.0	3.0865254	0.637915	0.9893525	1.7482479	0.28335056	2.3152835
chr4	832000	834000	chr4	856000	858000	0,0,0	4.7334766	1.0	2.3088937	1.2375078	2.058891	2.2456098	0.5648671	3.3456166
chr4	2268000	2270000	chr4	2306000	2308000	0,0,0	5.517241	1.0	2.968728	1.7072625	1.9137508	2.316717	0.69935215	3.8342836
chr4	2860000	2862000	chr4	2856000	2858000	0,0,0	3.2101398	1.0	2.0988889	0.683448	0.9185145	1.7224301	0.37998244	2.3299396
chr4	4060000	4062000	chr4	4094000	4096000	0,0,0	3.6460893	1.0	2.2338037	1.0080954	1.6585242	2.6770985	0.4897117	3.5731833
chr4	1266000	1268000	chr4	1300000	1302000	0,0,0	7.78756	1.0	4.5784445	1.77649	2.482485	3.6559362	0.8518368	5.2350388
chr4	3452000	3454000	chr4	3480000	3482000	0,0,0	4.432653	1.0	2.5684662	0.9917786	1.3866214	1.9832017	0.6253354	2.8647828
chr4	632000	634000	chr4	678000	680000	0,0,0	4.6918106	1.0	2.4041905	1.6104567	2.3402858	2.6973248	0.6834313	4.128842
chr4	2860000	2862000	chr4	2872000	2874000	0,0,0	3.3803904	1.0	2.4367547	0.36593872	0.7065066	1.7140002	0.21920606	2.039279
chr4	5432000	5434000	chr4	5428000	5430000	0,0,0	3.2769024	1.0	2.2803788	0.6788628	0.68345326	1.5492617	0.38326547	2.1526954
chr1	202000	204000	chr1	212000	214000	0,0,0	12.103774	1.0	5.46287	1.1886468	2.0080175	1.9789777	0.57397836	3.0355525
chr1	2202000	2204000	chr1	2252000	2254000	0,0,0	6.575063	0.9987092	3.9764192	1.3955076	3.41086	5.4127173	1.0308012	6.653168
chr1	628000	630000	chr1	658000	660000	0,0,0	4.3165607	1.0	2.8414607	0.91636753	1.3611684	2.5927725	0.56546664	3.4073215
