chrom1	start1	end1	chrom2	start2	end2	bin1	bin2	kernel_id	iteration	score	pvalue	qvalue
chr1	210000	212000	chr1	224000	226000	105	112	0	0	0.4083511795	0.0000000023	0.0000000030
chr1	226000	228000	chr1	244000	246000	113	122	0	0	0.5232913045	0.0000000000	0.0000000000
chr1	252000	254000	chr1	288000	290000	126	144	0	0	0.3629051513	0.0000000004	0.0000000006
chr1	306000	308000	chr1	322000	324000	153	161	0	0	0.3319043328	0.0000000491	0.0000000573
chr1	324000	326000	chr1	346000	348000	162	173	0	0	0.4031028123	0.0000000000	0.0000000000
chr1	348000	350000	chr1	374000	376000	174	187	0	0	0.7096170950	0.0000000000	0.0000000000
chr1	388000	390000	chr1	416000	418000	194	208	0	0	0.3385926486	0.0000000220	0.0000000265
chr1	430000	432000	chr1	478000	480000	215	239	0	0	0.3259349512	0.0000000289	0.0000000345
chr1	448000	450000	chr1	476000	478000	224	238	0	0	0.4023928433	0.0000000002	0.0000000003
chr1	476000	478000	chr1	506000	508000	238	253	0	0	0.4448180058	0.0000000000	0.0000000000
chr1	504000	506000	chr1	516000	518000	252	258	0	0	0.3741539458	0.0000000507	0.0000000590
chr1	520000	522000	chr1	548000	550000	260	274	0	0	0.4930119776	0.0000000000	0.0000000000
chr1	546000	548000	chr1	562000	564000	273	281	0	0	0.5156479973	0.0000000000	0.0000000000
chr1	562000	564000	chr1	584000	586000	281	292	0	0	0.5347690963	0.0000000000	0.0000000000
chr1	584000	586000	chr1	608000	610000	292	304	0	0	0.5826488574	0.0000000000	0.0000000000
chr1	626000	628000	chr1	658000	660000	313	329	0	0	0.5926664299	0.0000000000	0.0000000000
chr1	648000	650000	chr1	656000	658000	324	328	0	0	0.3081941038	0.0000107044	0.0000108645
chr1	682000	684000	chr1	696000	698000	341	348	0	0	0.3306387015	0.0000374714	0.0000375752
chr1	712000	714000	chr1	724000	726000	356	362	0	0	0.3855459856	0.0000000491	0.0000000573
chr1	724000	726000	chr1	742000	744000	362	371	0	0	0.3559046378	0.0000035917	0.0000037007
chr1	738000	740000	chr1	766000	768000	369	383	0	0	0.4864328092	0.0000000000	0.0000000000
chr1	764000	766000	chr1	786000	788000	382	393	0	0	0.4992388542	0.0000000000	0.0000000000
chr1	820000	822000	chr1	844000	846000	410	422	0	0	0.3482182923	0.0000002950	0.0000003266
chr1	844000	846000	chr1	888000	890000	422	444	0	0	0.5019692716	0.0000000000	0.0000000000
chr1	956000	958000	chr1	988000	990000	478	494	0	0	0.5368755971	0.0000000000	0.0000000000
chr1	986000	988000	chr1	1006000	1008000	493	503	0	0	0.3471527862	0.0000000037	0.0000000049
chr1	1008000	1010000	chr1	1028000	1030000	504	514	0	0	0.5339400001	0.0000000000	0.0000000000
chr1	1090000	1092000	chr1	1102000	1104000	545	551	0	0	0.3271357954	0.0000006759	0.0000007267
chr1	1102000	1104000	chr1	1138000	1140000	551	569	0	0	0.3297326781	0.0000000193	0.0000000235
chr1	1148000	1150000	chr1	1156000	1158000	574	578	0	0	0.5018284813	0.0000000000	0.0000000000
chr1	1186000	1188000	chr1	1212000	1214000	593	606	0	0	0.3426740846	0.0000000070	0.0000000089
chr1	1212000	1214000	chr1	1230000	1232000	606	615	0	0	0.5067117841	0.0000000000	0.0000000000
chr1	1236000	1238000	chr1	1274000	1276000	618	637	0	0	0.6245923535	0.0000000000	0.0000000000
chr1	1256000	1258000	chr1	1272000	1274000	628	636	0	0	0.3288664431	0.0000007900	0.0000008461
chr1	1276000	1278000	chr1	1296000	1298000	638	648	0	0	0.4813263554	0.0000000000	0.0000000000
chr1	1292000	1294000	chr1	1318000	1320000	646	659	0	0	0.6195840596	0.0000000000	0.0000000000
chr1	1330000	1332000	chr1	1344000	1346000	665	672	0	0	0.4595287205	0.0000000000	0.0000000000
chr1	1346000	1348000	chr1	1380000	1382000	673	690	0	0	0.5930280789	0.0000000000	0.0000000000
chr1	1386000	1388000	chr1	1406000	1408000	693	703	0	0	0.5570823443	0.0000000000	0.0000000000
chr1	1406000	1408000	chr1	1426000	1428000	703	713	0	0	0.4590548579	0.0000000000	0.0000000000
chr1	1430000	1432000	chr1	1444000	1446000	715	722	0	0	0.3720267192	0.0000000050	0.0000000064
chr1	1448000	1450000	chr1	1464000	1466000	724	732	0	0	0.3556986973	0.0000000041	0.0000000053
chr1	1484000	1486000	chr1	1506000	1508000	742	753	0	0	0.4911737751	0.0000000000	0.0000000000
chr1	1508000	1510000	chr1	1528000	1530000	754	764	0	0	0.3985627790	0.0000000003	0.0000000005
chr1	1528000	1530000	chr1	1540000	1542000	764	770	0	0	0.4149187616	0.0000000009	0.0000000013
chr1	1540000	1542000	chr1	1568000	1570000	770	784	0	0	0.5502007085	0.0000000000	0.0000000000
chr1	1588000	1590000	chr1	1614000	1616000	794	807	0	0	0.3256492366	0.0000002800	0.0000003109
chr1	1664000	1666000	chr1	1688000	1690000	832	844	0	0	0.4798917939	0.0000000000	0.0000000000
chr1	1694000	1696000	chr1	1714000	1716000	847	857	0	0	0.3412739228	0.0000000216	0.0000000261
chr1	1714000	1716000	chr1	1746000	1748000	857	873	0	0	0.3162606186	0.0000000782	0.0000000896
chr1	1824000	1826000	chr1	1846000	1848000	912	923	0	0	0.6388829297	0.0000000000	0.0000000000
chr1	1846000	1848000	chr1	1866000	1868000	923	933	0	0	0.4625753264	0.0000000000	0.0000000000
chr1	1866000	1868000	chr1	1896000	1898000	933	948	0	0	0.3806108174	0.0000000001	0.0000000001
chr1	1896000	1898000	chr1	1924000	1926000	948	962	0	0	0.3328407668	0.0000000395	0.0000000466
